version,model_type,config,feature_set,n_features,fold,r2_uniform,mae_mean_pp
LGBM,LightGBM,leaves63,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.719362598976803,1.903672983162547
LGBM,LightGBM,leaves127,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.719362598976803,1.903672983162547
LGBM,LightGBM,leaves255,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.719362598976803,1.903672983162547
LGBM,LightGBM,lr0.01,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7020480786594954,2.0190474509804845
LGBM,LightGBM,lr0.1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7122519403585504,1.9366350344320005
LGBM,LightGBM,lr0.2,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7001468828643619,2.0075666874528086
LGBM,LightGBM,reg0.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7213918165665077,1.906551262837856
LGBM,LightGBM,reg1.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7187300119413157,1.913461417354127
LGBM,LightGBM,reg5.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7219545608111568,1.910109296026256
LGBM,LightGBM,reg10.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7252176812435711,1.9040503379395128
LGBM,LightGBM,ss0.6,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7131005046315936,1.9134877908315016
LGBM,LightGBM,ss0.7,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7132316076811508,1.916112373566332
LGBM,LightGBM,ss1.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7187206643913661,1.91159311931266
LGBM,LightGBM,cs0.5,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.725516509460744,1.908887273718576
LGBM,LightGBM,cs0.7,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7270535851736234,1.904574345739401
LGBM,LightGBM,cs1.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7140804161516824,1.9076421713851288
LGBM,LightGBM,mcs5,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7046009738265838,1.9164768799848404
LGBM,LightGBM,mcs50,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7109593680475902,1.9236012749594007
LGBM,LightGBM,mcs100,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7025456212512121,1.953638350580185
LGBM,LightGBM,strong_deep,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7182271718305618,1.860217951409869
LGBM,LightGBM,strong_conservative,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7249832253246068,1.8722763312035808
LGBM,LightGBM,strong_shallow,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,2,0.7119013905525899,1.9589867793180755
